Order ID,Order Date,Customer Name,Country,State,City,Region,Sales,Profit
KL-2018-5607031,01-01-2018,Lani Bowers,Austria,Vienna,Vienna,Central,2934,1819
KL-2018-5607032,01-01-2018,Lana Adkins,Austria,Vienna,Vienna,Central,4354,2787
KL-2018-5607033,01-01-2018,Sopoline Noel,Austria,Vienna,Vienna,Central,2102,1534
KL-2018-5607034,02-01-2018,Abbot Horton,Germany,Lower Saxony,Langen,Central,3261,2446
KL-2018-5607035,02-01-2018,Hedda Livingston,Germany,Lower Saxony,Langen,Central,2577,1907
KL-2018-5607036,02-01-2018,Henry Hodges,Germany,Lower Saxony,Langen,Central,3131,1973
KL-2018-5607037,02-01-2018,Aristotle Barrett,Germany,Lower Saxony,Langen,Central,2683,1798
KL-2018-5607038,02-01-2018,Wendy Neal,Germany,Lower Saxony,Langen,Central,2613,1751
KL-2018-5607039,03-01-2018,Raymond Mckenzie,Denmark,Hovedstaden,Copenhagen,North,4076,2609
KL-2018-5607040,03-01-2018,Zephr Hickman,Spain,Valenciana,Gandia,South,4400,3432
KL-2018-5607041,03-01-2018,Georgia Kane,Denmark,South Denmark,Esbjerg,North,2466,1603
KL-2018-5607042,04-01-2018,Stella Dejesus,India,Maharashtra,Mumbai,South,2137,1325
KL-2018-5607043,04-01-2018,Dahlia Porter,India,Bihar,Patna,South,4216,3162
KL-2018-5607044,04-01-2018,Ria Foster,India,Bihar,Patna,South,3165,2310
KL-2018-5607045,04-01-2018,Kiona Moore,France,Ile-de-France,Villiers-sur-Marne,Central,3263,2545
KL-2018-5607046,04-01-2018,Guinevere Sullivan,Germany,North Rhine-Westphalia,Bielefeld,Central,2946,2210
KL-2018-5607047,04-01-2018,Ingrid Barnes,Belgium,Flemish Brabant,Leuven,Central,2989,2212
KL-2018-5607048,05-01-2018,Quinlan Holcomb,Belgium,Flemish Brabant,Leuven,Central,3463,2770
